case,label,ray_c,ray_mm,reversed_frac,u_e_bernoulli,u_max,bernoulli_edge_mm,bernoulli_dstar_mm,bernoulli_H,bernoulli_at_ray_end,shear_edge_mm,shear_dstar_mm,shear_H,shear_at_ray_end,max99_edge_mm,max99_dstar_mm,max99_H,max99_at_ray_end,totalp_edge_mm,totalp_dstar_mm,totalp_H,totalp_at_ray_end
d+0_+0_a6.27_L0,"neutral, moderate lift",0.06,60.0,0.0,51.31894508615565,52.19008728019178,21.07891709816,5.3707527183551305,1.6205523772419028,False,18.537736508171207,4.784420469203897,1.6076014074889604,False,41.56681082242859,5.538988869022451,1.6119728928382437,False,21.07891709816,5.231256327906538,1.6183104372930983,False
d+0_+0_a6.27_L0,"neutral, moderate lift",0.12,120.0,0.0,51.31894508615565,54.0834682138418,20.936535273341164,5.3694910773156534,1.6207874231550485,False,18.623900335482883,4.8207605051202504,1.6086634657793748,False,94.95391978167484,7.796448269949186,1.4473008348335203,False,86.97356397066858,7.397468640176767,1.4683880779628282,False
d+0_+0_a6.27_L0,"neutral, moderate lift",0.25,250.0,0.0,51.31894508615565,55.01009202085101,20.987158139497975,5.36990233444016,1.6207098627754803,False,18.532295417136,4.780913161454805,1.6075137023478008,False,170.3588549420568,9.678322035611387,1.3703574689267843,False,65.64134768262734,6.253540909302576,1.5465783304165253,False
d+0_+0_a11.83_L0,"neutral, high lift (headline reference)",0.06,60.0,0.0,51.48131837237098,52.28895831968933,25.09374352511431,8.062623781821555,1.84241767913572,False,22.477297370697066,7.406877182165557,1.8245922696862744,False,27.25407694019427,8.179228239087646,1.8426367278003966,False,60.0,8.085192829058869,1.841832219923016,True
d+0_+0_a11.83_L0,"neutral, high lift (headline reference)",0.12,120.0,0.0,51.48131837237098,53.35928371104383,25.19951926439711,8.063602298557885,1.842246082806187,False,22.415998117883298,7.384672435274856,1.82371646456144,False,108.84774449059434,9.928637661574474,1.660557363252295,False,90.43405225474554,8.67303448830963,1.7787756465854447,False
d+0_+0_a11.83_L0,"neutral, high lift (headline reference)",0.25,250.0,0.0,51.48131837237098,55.48558590644557,25.031578116938114,8.061949775011032,1.8425414034333423,False,22.56669089413335,7.438471071642339,1.825829739155139,False,177.57133201302094,14.774735060363918,1.447574042570652,False,250.0,16.60383860637942,1.404393408892378,True
d+5_+0_a2.89_L0,"+5, moderate lift",0.06,60.0,0.0,51.604618510471795,52.56806987974981,18.88108433854948,5.163879002700498,1.6795251120909824,False,18.708622783534537,5.010532690934288,1.6764144095142817,False,21.07891709816,5.297550375115226,1.6799267063361853,False,19.055135694604385,5.0961118717851965,1.6779895644039142,False
d+5_+0_a2.89_L0,"+5, moderate lift",0.12,120.0,0.0,51.604618510471795,53.71719241475155,18.80644984368405,5.163315985895308,1.6796496009279718,False,18.623900335482883,4.97942544638199,1.6758406667326247,False,87.82606967803102,6.413890175238209,1.557239953277912,False,18.80644984368405,5.046094085888063,1.6770730235301992,False
d+5_+0_a2.89_L0,"+5, moderate lift",0.25,250.0,0.0,51.604618510471795,55.14716358627638,18.92052943157697,5.164166032562744,1.6794667323036303,False,18.72540629397933,5.016645799216304,1.676534657844874,False,199.0193199277497,9.858184026157527,1.3549849775826133,False,18.72540629397933,5.016645799216304,1.676534657844874,False
d+5_+0_a8.58_L0,"+5, high lift (headline)",0.06,60.0,0.0,52.11418497056712,52.812965174718364,26.5140540160942,8.563558086122411,1.9723919957564677,False,22.893612020632588,7.9120649213253404,1.9699389499349247,False,31.56409165577933,8.649750686031892,1.9671089022174821,False,28.014754341646608,8.517447845858996,1.9714939940561376,False
d+5_+0_a8.58_L0,"+5, high lift (headline)",0.12,120.0,0.0,52.11418497056712,53.62228292437514,26.71833205083617,8.565550748848754,1.9719688443015344,False,22.857590284807557,7.9052104247457775,1.9697791835204879,False,75.13539068253952,9.293374038901856,1.8961118492529985,False,120.0,10.104349172103442,1.8012680887488255,True
d+5_+0_a8.58_L0,"+5, high lift (headline)",0.25,250.0,0.0,52.11418497056712,54.7104290791503,26.637928004884206,8.564800349223418,1.9721277799267283,False,22.801841120693464,7.89436479848111,1.969546924609989,False,201.09314804860267,11.768575323777055,1.6476312041203607,False,23.76720189583318,8.068845719233298,1.9727011074987557,False
d+5_+5_a6.42_L0,"+5+5, high lift",0.06,60.0,0.0,52.82030758902137,53.179952879172106,25.09374352511431,8.83747346421806,2.179979765403729,False,23.532586268042508,8.531858016553311,2.1876298212994953,False,26.5140540160942,8.793167241800138,2.1798112507297,False,24.637420030079387,8.637376353791014,2.185538546323521,False
d+5_+5_a6.42_L0,"+5+5, high lift",0.12,120.0,0.0,52.82030758902137,54.56896138262641,25.19951926439711,8.83847420677416,2.1796992426331814,False,23.536343158834537,8.532239644929234,2.1876316338245583,False,93.11947850103766,10.134854989097079,1.9688520904692013,False,59.45333216362215,9.090671974895521,2.1371679276413826,False
d+5_+5_a6.42_L0,"+5+5, high lift",0.25,250.0,0.0,52.82030758902137,55.55223334600987,25.292413048074845,8.839292151307522,2.1794634142563822,False,23.52209612209664,8.530769134099131,2.1876533853124287,False,139.90268407194674,12.06989413644666,1.7578333963328405,False,250.0,12.86819425167993,1.6977561716761789,True
d+10_+0_a5.49_L0,"+10, high lift",0.06,60.0,0.0,53.55288663433669,53.67952656666148,28.27300253837507,11.607804738995213,2.5491653340794476,False,28.53363134248993,11.491581016779161,2.5534454027319033,False,28.53363134248993,11.491581016779161,2.5534454027319033,False,60.0,11.389854102598896,2.5576870320854317,True
d+10_+0_a5.49_L0,"+10, high lift",0.12,120.0,0.0,53.55288663433669,53.88967445898243,28.328685959788288,11.608358266329633,2.548993332301023,False,28.60636075383193,11.50150621501931,2.552985078188726,False,29.455822544649898,11.556712672874083,2.5502244593268064,False,25.947815384490532,11.121773103055112,2.564924577686448,False
d+10_+0_a5.49_L0,"+10, high lift",0.25,250.0,0.0,53.55288663433669,55.18799033748178,28.347362083145768,11.608405712458831,2.5489614340308213,False,28.64274826304709,11.506314702390185,2.5527793657932847,False,181.29128302423248,14.6067303910597,2.0002702898641163,False,105.74774147973955,12.192465803890581,2.377407882051227,False
d+10_+10_a2.08_L0,"+10+10, high lift  [ray-bound]",0.06,60.0,1.0,59.66684289547488,56.742715479462106,60.0,25.760828031821315,5.0720675462844635,True,37.232769461924306,23.30865902024081,7.034372236258395,False,42.33669307344313,23.72502536432445,6.675523881224386,False,60.0,23.596088340889654,6.788983291402038,True
d+10_+10_a2.08_L0,"+10+10, high lift  [ray-bound]",0.12,120.0,1.0,59.66684289547488,56.74161736138615,120.0,30.493603671716524,3.2313630966648472,True,37.22541116243786,23.30702452900176,7.035681009861875,False,42.25808951946681,23.718033692348563,6.681654745969787,False,41.84790080636997,23.681727640976728,6.713612945517858,False
d+10_+10_a2.08_L0,"+10+10, high lift  [ray-bound]",0.25,250.0,1.0,59.66684289547488,56.74403455049469,250.0,41.599766347575404,2.1230878989961104,True,37.11637568924355,23.282650766605496,7.055526150318968,False,42.47095410194317,23.737206404923427,6.664746254378549,False,185.08916348142424,23.271438064146025,7.032702949000758,False
d+10_+10_a-3.63_L0,"+10+10, moderate   [ray-bound]",0.06,60.0,1.0,58.2905444059212,56.60876841013351,60.0,21.13140626484056,4.360420901221017,True,36.892681932851374,19.735627999767097,5.243666245146442,False,36.55570079444181,19.70239277106527,5.260776727045552,False,60.0,19.642417816189333,5.291339299939372,True
d+10_+10_a-3.63_L0,"+10+10, moderate   [ray-bound]",0.12,120.0,1.0,58.2905444059212,56.60670473606575,120.0,24.098471096843692,3.14351661448067,True,36.864073400299155,19.732801364152202,5.245126332178182,False,36.506243053505855,19.697619115805217,5.263226782401678,False,36.864073400299155,19.732801364152202,5.245126332178182,False
d+10_+10_a-3.63_L0,"+10+10, moderate   [ray-bound]",0.25,250.0,1.0,58.2905444059212,56.6112658289195,250.0,31.015500018005515,2.1819069093192613,True,36.733602907597636,19.71985707477872,5.251804393214638,False,36.733602907597636,19.71985707477872,5.251804393214638,False,102.50970779037277,19.480412527754474,5.370209791267726,False
sym_L0,"symmetric, zero incidence",0.06,60.0,0.0,50.859675918368616,52.423394308369105,16.453194344704094,3.5018080851034252,1.4881606059744177,False,4.855457017614192,0.8402773867116746,1.4602595657762065,False,32.445064116252254,3.866282954571284,1.4771951187633565,False,18.537736508171207,3.635457523801856,1.4871629768502954,False
