CL,CD,CM,Fp_frac,dstar_s,theta_s,H_s,ue_s,delta_s,bl_ok_s,reversed_s,dstar_p,theta_p,H_p,ue_p,delta_p,bl_ok_p,reversed_p,d1,d2,U,alpha,tag,case,bl_reason_s,bl_reason_p,CL_surrogate
0.0022517338152276897,0.008631146547191776,0.000263332055257174,0.3008730647302002,0.0035647270472270133,0.002393257047923576,1.489487746550176,51.00619140142985,0.017074594799564375,True,0.0,0.0035002554168304862,0.0023523995785305124,1.4879510474223991,50.972203477422376,0.016338022858183043,True,0.0,0.0,0.0,55.0,0.0,dp0_p0_U55,run_dp0_p0_U55_a0,,,1.1192290663972958e-16
0.345200610951021,0.00901087887104753,0.001483937270617322,0.9999794944030799,0.004389872901454879,0.0028306951811645762,1.550810885843541,51.184475130499926,0.018648857042908584,True,0.0,0.003048587982,0.0021036542341934385,1.4491868161826786,50.813478054566914,0.015633225505376082,True,0.0,0.0,0.0,55.0,3.0,dp0_p0_U55,run_dp0_p0_U55_a3,,,0.33916655925164935
0.6825528997088844,0.010340111966227536,0.0016393859670811662,1.0001517930325512,0.005546018894287106,0.0034051249477302504,1.6287269863574048,51.322794802674395,0.0212865333844635,True,0.0,0.0024494382878607747,0.0017318251766186687,1.4143681018907588,50.623900149607415,0.013397396747715055,True,0.0,0.0,0.0,55.0,6.0,dp0_p0_U55,c000,,,0.6701827666344345
0.7130027843713612,0.010522550024506293,0.0016996855576325602,1.000155266935129,0.005634654431573784,0.003449947969407544,1.6332578002738452,51.33146690509542,0.02176107739878896,True,0.0,0.0023964740720283017,0.0016971271570316794,1.4120769101472623,50.58880602388116,0.013105239594019834,True,0.0,0.0,0.0,55.0,6.27,dp0_p0_U55,run_dp0_p0_U55_a6.27,,,0.6999971059243124
1.0201391818998091,0.012425156189637632,0.0022240488365072556,1.0001379459286648,0.0065745641290407605,0.0038446917214793657,1.71003674815077,51.390129144955026,0.022742138520156375,True,0.0,0.0020608941241166984,0.0014788605865927314,1.3935689021674194,50.28200805927162,0.011998947458508519,True,0.0,0.0,0.0,55.0,9.0,dp0_p0_U55,run_dp0_p0_U55_a9,,,1.0061764641956639
1.32575159097371,0.015325139977544505,0.0021675095939009442,1.000064181433481,0.00916935108212161,0.004856366651013362,1.888109309087746,51.64097514300735,0.02773386397246536,True,0.0,0.0017168082881347455,0.0012457792352895836,1.3780999389796944,49.99958312814499,0.010512122936016357,True,0.0,0.0,0.0,55.0,11.82,dp0_p0_U55,run_dp0_p0_U55_a11.82,,,1.3001648027940453
1.3450849995091978,0.015540104125119757,0.0020688403793941794,1.0000593528979078,0.009379302759942108,0.004929451409096966,1.9027072145661574,51.636926635720805,0.02835213933485273,True,0.0,0.0017021097373048585,0.001235621611596067,1.3775331552401573,50.03086449726558,0.010282884974782988,True,0.0,0.0,0.0,55.0,12.0,dp0_p0_U55,run_dp0_p0_U55_a12,,,1.3169677704133014
0.700171076422562,0.011127540279491432,0.05804393208551925,1.0000488850053146,0.005132619141690758,0.0030674013022244746,1.6732793123510088,51.62821835884135,0.019064598926468765,True,0.0,0.0022305709863170986,0.0016161608558932527,1.380166447036153,50.08735654966044,0.013105239594019834,True,0.0,5.0,0.0,55.0,2.89,dp5_p0_U55,run_dp5_p0_U55_a2.89,,,0.7002463440966881
1.3405987817691598,0.01712308296115842,0.058620992394300075,1.0000863591530267,0.008541758268552843,0.004335290958842129,1.9702848896753584,52.115941127260456,0.02653746743901873,True,0.0,0.001671043640917542,0.0012334204051821366,1.354804601818455,49.51577908030618,0.01098604409931934,True,0.0,5.0,0.0,55.0,8.58,dp5_p0_U55,run_dp5_p0_U55_a8.58,,,1.2996053506785825
1.3457126103771675,0.015948916012883757,0.10580298228894879,1.0000392138191254,0.008813580439863342,0.004046378581169907,2.178140345265252,52.810291564633516,0.025392681624751574,True,0.0,0.0016220963722222911,0.0012239030311822139,1.3253471319990502,48.98428092594635,0.011481331191311847,True,0.0,5.0,5.0,55.0,6.42,dp5_p5_U55,run_dp5_p5_U55_a6.42,,,1.2996883804813701
1.3367758115396902,0.01849104291420386,0.1114028472043759,0.999975607323163,0.01157394476081992,0.00453949055440709,2.5496131387658787,53.51553461443097,0.02835213933485273,True,0.0,0.001451716857236551,0.0010964358242648643,1.3240326748808073,49.8070115879312,0.010512122936016357,True,0.0,10.0,0.0,55.0,5.49,dp10_p0_U55,run_dp10_p0_U55_a5.49,,,1.2996378439578964
1.353519632226976,0.02450266554554538,0.19205956844582628,0.9998076766195112,,,,59.27908190923635,,False,1.0,0.0012562339172426343,0.0009925574232274312,1.2656536416380064,50.65542253575021,0.01098604409931934,True,0.0,10.0,10.0,55.0,2.08,dp10_p10_U55,run_dp10_p10_U55_a2.08,"no boundary-layer edge: the profile never reaches 0.99 u_e within the sampled ray, which is the signature of a separated trailing edge",,1.3000950697563973
