d1,d2,U,alpha,CL,CD,CM,dstar_s,dstar_s_band,dstar_p,dstar_p_band,H_s,H_p,theta_s,theta_p,bl_ok_s,bl_ok_p,reversed_s,reversed_p,drift_s,cells,iterations,case
0.0,0.0,55.0,0.0,0.0028619571029674,0.0084066573523958,-0.0004490078041947,0.0035244121809327,9.386956084744694e-06,0.0034654421561608,1.004223411321583e-05,1.4894175745346026,1.485834851725228,0.0023735721332065,0.0023248728791706,True,True,0.0,0.0,0.0001461205809479,51552,20000,resweep/d+0_+0_a0
0.0,0.0,55.0,3.0,0.3476964931910594,0.0087541432018786,-0.0017680267441677,0.0042633387873265,8.668758645005194e-06,0.0030627964391815,6.457599509478813e-06,1.54439891317582,1.4495582840371155,0.0027668106406868,0.0021097610874408,True,True,0.0,0.0,-0.005448421779184,51552,20000,resweep/d+0_+0_a3
0.0,0.0,55.0,4.5,0.521114711108564,0.0092212024660383,-0.0026534332955516,0.0047539055552841,3.0139280149015304e-06,0.0028055586945268,2.801548947176753e-06,1.5808388239111042,1.433055166477596,0.0030057656957887,0.0019594464690147,True,True,0.0,0.0,-0.0003051329789195,51552,20000,resweep/d+0_+0_a4.5
0.0,0.0,55.0,6.0,0.6892462426111048,0.0099092798929711,-0.0026220572490314,0.0053359448998598,4.48518708517226e-07,0.0024751762197673,1.1429619573330007e-06,1.6200444102710043,1.4160855634980505,0.0032937670864575,0.0017485902465491,True,True,0.0,0.0,0.000276600332544,51552,20000,resweep/d+0_+0_a6
0.0,0.0,55.0,6.27,0.7204181580388482,0.0100155334665574,-0.0026592061750605,0.0053726761318635,6.494374575436324e-06,0.00243276744343,2.9607376542519024e-06,1.6201079512093777,1.414140590665199,0.0033163539995744,0.0017219483751152,True,True,0.0,0.0,0.0035454239460292,51552,20000,resweep/d+0_+0_a6.27
0.0,0.0,55.0,7.5,0.8609472555926327,0.0107933648064431,-0.003182951076551,0.0056047734181986,9.17834563216079e-06,0.0022536797590587,7.557839489382139e-06,1.6459023434136586,1.4035418133513278,0.0034090810411908,0.0016012871852141,True,True,0.0,0.0,0.0030677365468932,51552,20000,resweep/d+0_+0_a7.5
0.0,0.0,55.0,9.0,1.0322425344289976,0.0119223438902203,-0.0038982981400735,0.006018829899045,1.0093651552628338e-05,0.00210762163197,4.131590515850294e-06,1.6869254006296674,1.397725171589487,0.0035708611078518,0.0015059474201969,True,True,0.0,0.0,0.0014525840647281,51552,20000,resweep/d+0_+0_a9
0.0,0.0,55.0,10.5,1.1970835617040336,0.0132587801061643,-0.0037038430709699,0.006916762290554,8.663946398201026e-06,0.0019287442353864,4.8897990835757845e-06,1.7604863130153157,1.3907435675913682,0.003931332274683,0.0013844189139871,True,True,0.0,0.0,0.0023882551521512,51552,20000,resweep/d+0_+0_a10.5
0.0,0.0,55.0,11.0,1.2511520621307552,0.013781302220426,-0.003631222378893,0.0073243445592267,8.907560957525928e-06,0.001861525493823,5.986620106775858e-06,1.7881840102839768,1.387664353483803,0.0040990844209796,0.0013377134690079,True,True,0.0,0.0,0.0019545670869885,51552,20000,resweep/d+0_+0_a11
0.0,0.0,55.0,11.5,1.304393244423247,0.0142848882979772,-0.0032948162084283,0.0077784178151734,7.116561334456501e-06,0.0017998249300681,5.846934876970215e-06,1.821626009737114,1.3836291889535477,0.0042699041285178,0.001298196330665,True,True,0.0,0.0,0.0008968709303585,51552,20000,resweep/d+0_+0_a11.5
