eps,settled_max,whole_max,settled_inside,whole_inside
0.06,0.13105042880909457,0.16013954254682772,0.5666666666666667,0.38333333333333336
0.08,0.12516981850637232,0.13791998269995887,0.8416666666666667,0.7083333333333334
0.1,0.1426282564222905,0.1426282564222905,0.9666666666666667,0.9
0.12,0.11783764804686347,0.13220020094523588,1.0,0.975
0.15,0.12536890339144646,0.13941801569879186,1.0,1.0
0.18,0.12985658194448235,0.15083305744399134,1.0,1.0
0.2,0.13139815563574486,0.15400589726224845,1.0,1.0
0.25,0.1347329266956745,0.15782954089302148,1.0,1.0
