path,d1,alpha,CL,dstar_s,H_s,dstar_s_ref_matched,dL
"Moderate lift, $C_L\approx0.71$",0.0,6.0,0.6892462426111048,0.0053359448998598,1.6200444102710043,0.0053359448998598,0.0
"Moderate lift, $C_L\approx0.71$",5.0,2.89,0.6984636146318476,0.0051584762505757,1.6792305345239569,0.005346806132655812,-0.15573002097834635
"Moderate lift, $C_L\approx0.71$",10.0,-0.08,0.7149090824527128,0.0084206337991148,2.0786380322989624,0.005366184547028127,1.9567917664236183
"High lift, $C_L\approx1.34$",0.0,12.0,1.359508017287563,0.0081685646160489,1.8483199069753249,0.0081685646160489,0.0
"High lift, $C_L\approx1.34$",5.0,8.58,1.3402262481083025,0.0085726579209085,1.971704435185194,0.008066824273600403,0.26412897755774667
"High lift, $C_L\approx1.34$",10.0,5.49,1.33661325521846,0.0116040744183531,2.549541990655345,0.008032744151440152,1.5974657072485545
