d1,d2,U,alpha,CL,CD,CM,dstar_s,dstar_s_band,dstar_p,dstar_p_band,H_s,H_p,theta_s,theta_p,bl_ok_s,bl_ok_p,reversed_s,reversed_p,drift_s,cells,iterations,case,alpha_eq,in_range,SPL,dstar_s_ref,scale,label
10.0,10.0,55.0,2.08,1.3528902928631823,0.0246234077667245,-0.1921721489469472,,,0.0012951159012948,3.412237119829013e-05,,1.267186929576607,,0.0009958188299536,False,True,1.0,0.0,,53768,5709,resweep/d+10_+10_a2.08,,False,,0.008133724946180068,,"(+10, +10)"
10.0,0.0,55.0,5.49,1.33661325521846,0.0185342826532074,-0.1114766460071465,0.0116040744183531,4.869020877798849e-06,0.0014500182316735,1.7395072662876275e-06,2.549541990655345,1.3240254471797104,0.0045545561066852,0.001093523257962,True,True,0.0,0.0,-0.0003636026387424,53831,20000,resweep/d+10_+0_a5.49,12.0,False,78.24802167112222,0.008032744151440152,1.5974657072485545,"(+10, +0)"
5.0,5.0,55.0,6.42,1.3453506141570677,0.0159659170053313,-0.1057642242250407,0.0088374275816941,4.227187470840811e-06,0.0016208479404721,5.423466890066816e-06,2.1792728588838,1.3252844134073052,0.0040569051469591,0.001221573338748,True,True,0.0,0.0,-0.000324009004568,55029,20000,resweep/d+5_+5_a6.42,12.0,False,77.09645176758382,0.008094031556097166,0.38160974755947863,"(+5, +5)"
5.0,0.0,55.0,8.58,1.3402262481083025,0.0171209365350375,-0.0585445392447328,0.0085726579209085,1.096625145076413e-05,0.0016687339906689,4.474408323169518e-06,1.971704435185194,1.3546138543124235,0.0043424862761362,0.0012333981556308,True,True,0.0,0.0,-0.0018402464761689,51611,20000,resweep/d+5_+0_a8.58,12.0,True,76.96758992253297,0.008066824273600403,0.26412897755774667,"(+5, +0)"
0.0,0.0,55.0,11.5,1.304393244423247,0.0142848882979772,-0.0032948162084283,0.0077784178151734,7.116561334456501e-06,0.0017998249300681,5.846934876970215e-06,1.821626009737114,1.3836291889535477,0.0042699041285178,0.001298196330665,True,True,0.0,0.0,0.0008968709303585,51552,20000,resweep/d+0_+0_a11.5,11.5,True,77.24094431775264,0.0077784178151734,0.0,"(+0, +0)"
