seed,gust_amp,lift_bias,rate_scale,sigma_scale,delta,ebar,lag,nullrate,rate_max,rate_binds_pct,band_lost,jang,K_max
0,0.05352244216228596,0.09316802088617668,0.7339743708159556,0.9968829843824424,2.1413908343865478,0.0938835145953345,0.11205654857987075,0.006448666577472459,1.673222670890413,51.953125,False,0.0737820193637523,1.053409029882079
1,0.03691709883494289,0.034618403447515704,0.8492226599339742,1.1818324456218061,2.0205619875244083,0.035295582784687474,0.21967910313507827,0.0036555727692935817,1.0097603297191395,0.0,False,0.05778837086278896,0.628037002033897
2,0.03489583724429027,-0.03749723962904083,0.8077107019029227,1.3513971646500664,2.378779332453163,0.03933251313506092,0.19692631286238926,0.0034252264303783896,1.2650377883257629,0.0,False,0.060528047764516583,0.6120048265842806
3,0.05155198592385434,-0.006547839730171324,0.7810427718784522,1.2999619291649813,1.7417325198258393,0.008247110443830863,0.3048704874802656,0.003952861632769186,0.8524892158063857,0.0,False,0.06464495448555749,0.7821865638500887
4,0.06788847323004804,0.02074279320084376,0.8570963767567502,1.354888696266538,2.8592235436678584,0.021410892518542335,0.19113166964500083,0.004570480238365734,1.2733683399273985,0.0,False,0.07718457575420393,1.3991735301206878
5,0.030354834399635145,-0.12974977577133534,0.8165354666702955,1.328197732553359,1.631980339442803,0.13061535895971532,0.20455871363887596,0.005358231306438229,0.8436861844863027,0.0,False,0.06482087141803584,0.5792084264895994
6,0.06698601380044789,-0.09241490056573996,0.7331810017909887,1.2920557142622533,5.386177223887915,0.09349331312359921,0.4323892029678086,0.004866570044737072,1.0108052400676184,0.0,False,0.08567325001667257,4.010512749156936
7,0.04155351199505066,-0.01965602827603707,1.2877390943120264,0.9933103017873351,3.3233426299713873,0.021320818257594354,0.19001360900150457,0.003963345932337564,0.754734131558649,0.0,False,0.0629607265263046,1.01415131465656
8,0.051556134522855596,-0.00797479738501827,1.277730561149891,1.0059269552997512,2.9861496736931503,0.009662528267305293,0.2639283908630237,0.0039528616337440306,0.5471410291493767,0.0,False,0.0639482865645028,0.9539305512172325
9,0.03458405200544084,0.06170182290734338,0.9729377739580283,1.1927014694869778,2.3430325977306645,0.06239672535351071,0.1562721875533507,0.004183209675364043,0.9757777876046346,0.0,False,0.0664452502622573,0.6484922785821519
