theta,seed,settled_max,settled_rms,whole_max,descent
0.0,0,0.07397666765996602,0.024756182688779958,0.07397666765996602,2.1710642088229974
0.0,1,0.06341289832766828,0.02377261263050817,0.06341289832766828,2.18895602477275
0.0,2,0.10401575807364649,0.0306698544795596,0.11113663103517735,2.1628321927562126
0.0,3,0.06243732370720001,0.02100361654220033,0.06243732370720001,2.203145094447976
0.0,4,0.08916317225563808,0.03644235730795922,0.08916317225563808,2.196595346312094
0.0,5,0.057171906110336845,0.02522003458243928,0.057171906110336845,2.171118931434094
0.0,6,0.06573504748337755,0.033989632030010535,0.08883893569840629,2.159770879372388
0.0,7,0.07314744137454987,0.026345625822959066,0.07314744137454987,2.2013198825343068
0.0,8,0.04814233900803111,0.019273053543082005,0.057906538863673473,2.1454193910620347
0.0,9,0.09121669136601462,0.04465193836859813,0.1194096147688617,2.1639111951740233
1.0,0,0.07438713703617972,0.02479179139794051,0.07438713703617972,2.1707153367870973
1.0,1,0.06329223681183338,0.023716549495928874,0.06329223681183338,2.1886853029538003
1.0,2,0.10323554425689752,0.03052333380001955,0.11113522813332755,2.1631256844764977
1.0,3,0.06249293422591973,0.02098144776253146,0.06249293422591973,2.2032057002735286
1.0,4,0.08918607391309119,0.036460663793867226,0.08918607391309119,2.1966301170918427
1.0,5,0.057020771461220754,0.02521127709438634,0.057020771461220754,2.1716237760032016
1.0,6,0.06587586559933789,0.03402468985452117,0.0890019846056529,2.1597785532580076
1.0,7,0.07291768816699262,0.026343222898994927,0.07291768816699262,2.201694723840575
1.0,8,0.04810983000670088,0.01920210585613418,0.057906538863673473,2.1452309012310593
1.0,9,0.09123018160876151,0.04467532214427689,0.12569719219218056,2.1638176284983217
2.0,0,0.07410325075677204,0.02475978822010589,0.07410325075677204,2.171172539727948
2.0,1,0.06341127537282265,0.02362118501241583,0.06341127537282265,2.1888868360826734
2.0,2,0.10304976763183182,0.030504246910443535,0.1111449055689786,2.1632255628449144
2.0,3,0.062059194114689964,0.020886536243566987,0.062059194114689964,2.2030475029514918
