alpha,delta1,delta2,U,CL,CM,dstar_s,dstar_p,SPL
9,0,-5,55,0.7427400366179261,0.053143655820275575,0.0089157478557427,0.0013784104609356,78.79590771313495
9,0,-5,70,0.7576685211449722,0.05149392104375207,0.0084935040248872,0.0012035569685026,85.11969788623935
9,0,0,40,1.0024975715501678,0.0011515762206319204,0.0120432611618057,0.0013058546982177,71.27171880074359
9,0,0,55,1.0061764641956632,0.0020147723227672883,0.0113402573409049,0.00101417306488,79.59570213825435
9,0,0,70,1.0138900885588649,0.0022669350545226493,0.0108348374494726,0.0008487751310377,86.01245371343053
9,0,5,40,1.215999478377379,-0.039971096301798355,0.0158677620839864,0.0006877446437532,71.88845296776618
9,0,5,55,1.230995303582814,-0.0417008593625469,0.0147999406982308,0.0005831469934826,80.47597885454564
9,0,5,70,1.246715740249947,-0.04321830332492275,0.0140536205185999,0.0005261756204208,86.98924388277732
9,0,10,40,1.4196805101055006,-0.07916402561530177,0.0212768972815938,0.0006322623525759,72.41158115534145
9,0,10,55,1.4417846071250806,-0.08215543904208555,0.0197114468029502,0.0005794134120713,81.28257658279776
9,0,10,70,1.4625480510442477,-0.08454161586702821,0.0186546232779089,0.0005414695128764,87.9634527357747
9,5,-10,40,0.8428916350192134,0.04458992156607911,0.0110897458332072,0.0021476416297912,71.23877059918388
9,5,-10,55,0.8573235318669057,0.04266293449243298,0.0103626883512194,0.001721681798609,79.39502888731502
9,5,-10,70,0.8734881703004589,0.040699814106269626,0.0098411132214341,0.0014651271519079,85.72166278888236
9,5,-5,40,1.0889094973017754,-0.0030422075900036613,0.0143098881523335,0.0014087618346293,71.76326101160403
9,5,-5,55,1.0964709047310774,-0.0030058532298879283,0.0133844624329919,0.0010914910353584,80.21270751952564
9,5,-5,70,1.1139832545028074,-0.004886258155283009,0.0126701434850056,0.0009393126837359,86.63388962589474
9,5,0,40,1.3210241330084678,-0.047303151269283715,0.018757827188225,0.0008504975125386,72.23590079139097
9,5,0,55,1.340190099133832,-0.0496176241577495,0.0173113489376771,0.0007325313847436,80.9583153151234
9,5,0,70,1.358277507112167,-0.05137177921847683,0.0163375142205486,0.0006491576092412,87.53763769372279
9,5,5,40,1.5063349095178111,-0.0831993336678115,0.0254150787775897,0.0005888266274421,72.5393982023167
9,5,5,55,1.533661372462623,-0.08699738577481739,0.0233423278011281,0.0005154297811904,81.64648215958634
9,5,5,70,1.5590405443116957,-0.09011990726944605,0.0219500089351328,0.0004682768905494,88.42708711526075
9,5,10,40,1.6476080659832133,-0.11026002000868686,0.0360988888821534,0.0004937859930019,71.36237707095502
9,5,10,55,1.6796257351384214,-0.11471224950618755,0.0334598811472177,0.0004806253196895,81.70995537013167
9,5,10,70,1.7082443141815902,-0.11825275581679573,0.0316506461292174,0.0004706313737618,89.09701606697683
9,10,-10,40,1.1808808977645375,-0.01159966493639872,0.0180246700258442,0.0014623156107356,72.26786671188583
9,10,-10,55,1.2121018219093351,-0.017022931022086144,0.0165228488842535,0.0011978963574255,80.88811926595784
9,10,-10,70,1.2347546089601322,-0.01994848635571149,0.0155244885524695,0.0010347503673036,87.40771393906638
9,10,-5,40,1.4016735030886822,-0.05342068050580913,0.0237274541976071,0.0009141266886004,72.55442932217574
9,10,-5,55,1.4327783633323743,-0.05817242494688823,0.0216336327599571,0.0008339994188615,81.51389681201395
9,10,-5,70,1.4580013438628374,-0.06118958565355642,0.0202498514554413,0.0008061900229445,88.22593425042075
9,10,0,40,1.5652670707404013,-0.08487751799885487,0.0330417620527232,0.0007409586080623,71.88183566380843
9,10,0,55,1.5954296819131977,-0.08877391998843921,0.0303904993596693,0.0007121907703889,81.89067477738695
9,10,0,70,1.6229846876033678,-0.09186821567304958,0.0285913903743088,0.0006937216824673,89.01638939936964
9,10,5,40,1.6955149654173645,-0.11072050742373082,0.045041007101582,0.0006184175293357,69.49631997915327
9,10,5,55,1.7285405125837647,-0.11494549252284457,0.0419392475300679,0.0005937690917187,80.55774303705532
9,10,5,70,1.7587146015502868,-0.11844144359721746,0.0398307954330238,0.00057174733505,88.62094809082294
9,10,10,40,1.801314191081774,-0.13280419076071306,0.0605627348033077,0.0005477095040613,66.74938269137058
9,10,10,55,1.8380813250005856,-0.13765372731794367,0.0570734312088621,0.0005075072718202,77.69200140256493
9,10,10,70,1.871328819136786,-0.14170009007249854,0.0546723700462547,0.0004764183920147,86.16568088796753
12,-10,-10,40,0.0632928001303915,0.215074884516026,0.0053766575960885,0.0025506914440136,67.0973079562921
12,-10,-10,55,0.0646600630853613,0.21618829637066767,0.0050617932145425,0.0020385672401273,75.37158619984906
12,-10,-10,70,0.0658452242973184,0.21786923518412102,0.0048579294021211,0.0017570346266961,82.24315672771964
12,-10,-5,40,0.3320995405242123,0.16197032450974247,0.0070242825626891,0.0014072649078488,67.1972429607336
12,-10,-5,55,0.3357848061604799,0.1628175372303444,0.006637761721645,0.0011358149251103,76.01778955943077
12,-10,-5,70,0.3395671560318118,0.1642035033416575,0.0063695385919601,0.0009956569679358,83.15940026553223
12,-10,0,40,0.5907009018084449,0.11217524619343408,0.0091494595580899,0.0010499196328913,67.8495620967845
12,-10,0,55,0.5976079625367196,0.11288632299031869,0.0085850128684223,0.0009422556460134,76.88050926039332
12,-10,0,70,0.6044060403356927,0.11391062002907826,0.008190910310563,0.0008753581295888,84.12519206317364
12,-10,5,40,0.8400314563668576,0.06472102667388964,0.0115646164510401,0.0009656320241591,68.48636945570458
12,-10,5,55,0.8498660928765298,0.06477159209923244,0.0108216338585599,0.0008581292833391,77.70127335511349
12,-10,5,70,0.8595413657904616,0.06508499656016173,0.0103097563337479,0.0007882646632733,85.00115621760168
12,-10,10,40,1.0751058282060086,0.020179481705376364,0.0150832768205173,0.0008484589088384,68.95079727603368
12,-10,10,55,1.0886258457187086,0.019372439907354176,0.0140644724538154,0.0007497328071771,78.57921670582364
12,-10,10,70,1.101925710560857,0.018852886069990388,0.0133688730798767,0.0006845778606058,86.00642888729314
12,-5,-10,40,0.4537112090113762,0.15447989604900159,0.00787832284801,0.0027219737289101,68.23112061650087
12,-5,-10,55,0.4560759827254773,0.15524776328589338,0.0074079732216226,0.0021226905151421,76.73497951759198
12,-5,-10,70,0.4608417683024043,0.156116270038128,0.007089151860377,0.0018003639287616,83.74669475989585
12,-5,-5,40,0.7093838600442272,0.10424415382872271,0.0100030986354976,0.001657967044756,68.43260476960602
12,-5,-5,55,0.7182928353040192,0.10399734906619247,0.0094118245807596,0.0013764152687534,77.39916380871747
12,-5,-5,70,0.7259684815337178,0.10452212677845898,0.0090042265028393,0.0012036121958626,84.56996688292243
12,-5,0,40,0.9501772402950052,0.05810296835047717,0.0128386719181676,0.0010349338174422,68.7304150831584
12,-5,0,55,0.962311184250558,0.05726498679773503,0.0120025264394568,0.0008642422564961,78.07009169617908
12,-5,0,70,0.9743125635495872,0.05693916310054783,0.0114212765576176,0.0007593634407519,85.39887019654856
12,-5,5,40,1.1832481101760612,0.01198797569589828,0.016528367092876,0.0007019423537559,69.03561096235178
12,-5,5,55,1.198838845372031,0.010727504840538731,0.0153299858159066,0.0006329065806154,78.81643632992258
12,-5,5,70,1.2140583357424874,0.00998072745897868,0.0145160042584512,0.0005889930705316,86.31930020450116
12,-5,10,40,1.3982874495724609,-0.029357882037233433,0.0212878443542969,0.0006632299898682,69.29475541437722
12,-5,10,55,1.4181920944061976,-0.03140864469092646,0.0196970970122592,0.0005976778538164,79.4930203050302
12,-5,10,70,1.4371506860255503,-0.03293864385683844,0.0186332489049493,0.0005514240767398,87.18999436501234
12,0,-10,40,0.8250361421819465,0.09771243417961555,0.0117259831510394,0.0022863223879168,69.10315494240245
12,0,-10,55,0.8326935573500871,0.09746592602655321,0.0109385717836141,0.0018198996075786,78.00010412637965
12,0,-10,70,0.8439463775045533,0.09698650228588779,0.0103948495293363,0.0015495978095321,85.15901743388625
12,0,-5,40,1.0557535603543244,0.05185668827703408,0.0150101857932346,0.0015014390750118,69.17126849195702
12,0,-5,55,1.0618066531574617,0.05286995929163201,0.014001196447384,0.001166113830264,78.66111196744134
12,0,-5,70,1.0777684627713993,0.051970885808238325,0.0132403096455122,0.001008179726134,86.02326611474442
12,0,0,40,1.2987613794164312,0.004161515021080179,0.0189142558022089,0.0009896056534008,69.23148894279423
12,0,0,55,1.3169677704133007,0.0026237580321468645,0.0174116053239531,0.0008566742833823,79.20072606394878
12,0,0,70,1.3332591508985008,0.001848303956773189,0.0164182600352613,0.0007584276515474,86.77373741054694
12,0,5,40,1.489344194238139,-0.03381350770188287,0.0244671277517661,0.000607578029567,69.47156342987438
12,0,5,55,1.5136956793413967,-0.03651719201286773,0.0224373220415977,0.0005263564719663,79.8342898921974
12,0,5,70,1.5363423510088414,-0.03858231364784724,0.0210950683086828,0.000472150734623,87.59972461580632
12,0,10,40,1.6511485887366564,-0.06710067985994511,0.0325114464829713,0.0004836738792045,69.89928625347021
12,0,10,55,1.6842606370099735,-0.07150351462002262,0.0297065267290807,0.0004490955834716,80.63349294132362
12,0,10,70,1.7130231853526563,-0.07475501039950755,0.0278650906283536,0.0004258133081176,88.55639130105214
12,5,-10,40,1.137136364252999,0.046288266843481765,0.018313412951033,0.0017178297048431,69.50090315478243
12,5,-10,55,1.1596212051976826,0.043750716942079965,0.0167566338363102,0.0014300177404517,79.23877757327385
12,5,-10,70,1.1837723635703403,0.041241866862399466,0.015689021484644,0.0012589431016265,86.68467107866886
12,5,-5,40,1.377871415374126,-0.0016061837497374754,0.0231043500092595,0.0011418799914505,69.49634892783331
12,5,-5,55,1.3950105320902668,-0.0025293601051111143,0.0211379546319218,0.000928427372603,79.71854746664644
12,5,-5,70,1.414479289572495,-0.003724290851355737,0.019816219985128,0.0008033222713288,87.41641345639644
12,5,0,40,1.5601314747348265,-0.03873997629536394,0.0305408402771862,0.0006928829035813,69.81751418852478
12,5,0,55,1.5922245961839572,-0.04259990159117233,0.0276293474462582,0.0006015224829116,80.43488537152899
12,5,0,70,1.6200741315112233,-0.04538760968766933,0.0257373526977387,0.0005414667246165,88.27949681701041
12,5,5,40,1.697387542168351,-0.07006090837150895,0.040584048977101,0.0005056748647934,70.23934312014742
12,5,5,55,1.7358162653370142,-0.07495920712986395,0.036948417658286,0.0004424762900231,81.2538906687121
12,5,5,70,1.7686670970527447,-0.07862069420577457,0.03455900534713,0.0004008276608858,89.2986172381081
12,5,10,40,1.78576049057732,-0.09555094753236648,0.0549230165619308,0.0003795658611381,70.30810412878871
12,5,10,55,1.827823661908886,-0.10097015999826793,0.0508736824367087,0.0003346066082684,81.99669582701682
12,5,10,70,1.8642843160419096,-0.10531652677283972,0.04811436626245,0.0003066210486022,90.31641281882648
12,10,-10,40,1.4189856747311351,-0.0035749309210374633,0.030620352357287,0.0012380023325313,69.93388205675429
12,10,-10,55,1.4624904835626973,-0.009921612668754493,0.0273067260629951,0.0010833576352991,80.46025477863296
12,10,-10,70,1.4975085992137056,-0.014250422502946567,0.0252152842023818,0.0009715109140384,88.24445972694072
12,10,-5,40,1.5923814720749918,-0.04185012936050753,0.0396179143719919,0.0007832040060464,70.23199893414635
12,10,-5,55,1.6319152641095007,-0.046701575588213196,0.0356659281775576,0.0006767441218094,81.16877910118615
12,10,-5,70,1.6668214127737913,-0.050653798390566156,0.0331099036728806,0.0006069441139027,89.16030257504168
12,10,0,40,1.713649465207606,-0.07466102636636661,0.052728283685301,0.0005643949052194,70.37092685730204
12,10,0,55,1.7548345484051988,-0.0794618788975498,0.0482891071177133,0.000490475808924,81.90641373512398
12,10,0,70,1.7902500999808204,-0.08325604853342594,0.0453705632235355,0.0004437765233294,90.15661409370033
12,10,5,40,1.797215069593426,-0.10536994386520701,0.0673295006920096,0.0004443937639487,69.52862801748051
12,10,5,55,1.8420089698815725,-0.11061041643616137,0.062316676438592,0.0003938116328257,82.06266557907821
12,10,5,70,1.8799277049346812,-0.11478028745518072,0.059027181896814,0.0003646261872302,90.7547568551987
12,10,10,40,1.8398573255115207,-0.13566717792576904,0.0852662511366114,0.0003624996255963,67.59065421104697
12,10,10,55,1.8872246544051727,-0.14130680522683417,0.0796470314600655,0.0003285557477059,81.04011687190835
12,10,10,70,1.927014557433813,-0.14585893092823127,0.075944207700681,0.0003137739824238,90.4932559275561
