alpha,delta1,delta2,U,CL,CM,dstar_s,dstar_p,SPL
0,0,-5,55,-0.2535877745876375,0.04935354577452052,0.0018430253598584,0.0038432125953308,71.54892426714673
0,0,-5,70,-0.2568001667096288,0.0500213491219576,0.0018154342329186,0.0037739160005241,76.73755058919818
0,0,0,40,-1.6688537779966706e-16,1.22383237049328e-16,0.0025837521845057,0.0025837521845057,64.24209483835278
0,0,0,55,-2.238458132794592e-16,2.238450981531281e-17,0.0025643855560777,0.0025643855560777,71.14622884521063
0,0,0,70,-4.512624023625485e-16,1.974276544900271e-16,0.0025523076596033,0.0025523076596033,76.36689948463862
0,0,5,40,0.2511634729360114,-0.048608792281708293,0.003862453183916,0.0018846986891574,64.64891924602371
0,0,5,55,0.2535877745876376,-0.049353545774520106,0.0038432125953308,0.0018430253598583,71.54892426714673
0,0,5,70,0.2568001667096286,-0.05002134912195751,0.0037739160005241,0.0018154342329186,76.73755058919818
0,0,10,40,0.4917872334796469,-0.09409120732069245,0.0063008702800696,0.0014489119291717,65.69323482263304
0,0,10,55,0.4980069636200586,-0.09530359537108535,0.0061187045506983,0.0014041625784856,72.57798098849464
0,0,10,70,0.5040870589132436,-0.09649667432712493,0.0059937591851356,0.0013744008068516,77.78065438015729
0,5,-10,40,-0.1257179954482826,0.03878391473970666,0.0018060843280834,0.0038021749023189,64.54802129897595
0,5,-10,55,-0.1292222312446605,0.03977943631581884,0.0018656215615166,0.0037536908488605,71.50172111284905
0,5,-10,70,-0.1325219593100987,0.04058401947643085,0.001908762099534,0.0037096545772286,76.76301323557232
0,5,-5,40,0.1285833462262731,-0.010311799753950607,0.0026310947695885,0.0026385182685827,64.3251766247234
0,5,-5,55,0.1273942348995423,-0.010153905405689695,0.0027277998028116,0.0025546362899422,71.27008032922599
0,5,-5,70,0.1276231757799667,-0.010218520070006416,0.0027459928567344,0.0025229464270119,76.50369863807151
0,5,0,40,0.3823856539173899,-0.05923585148396599,0.0041648072008454,0.00201325579039,64.93635512391849
0,5,0,55,0.3853141123377552,-0.059899429613304495,0.0041242484247402,0.0019066131859765,71.79029771163502
0,5,0,70,0.3893318230959662,-0.06042624728497692,0.0040354489424065,0.0018477607124594,76.94425086262395
0,5,5,40,0.6251357991581603,-0.10479602792441485,0.0066971140985895,0.0015757746961505,65.93050855830319
0,5,5,55,0.6314043450356053,-0.10587277481263727,0.0065506859423252,0.001474882533,72.82146461216978
0,5,5,70,0.6377879277535257,-0.10704685435386777,0.0064535097478688,0.0014130074668541,78.02580030334124
0,5,10,40,0.8282194092048054,-0.14170612451668294,0.0120673179266625,0.0012296674999247,66.96347107690985
0,5,10,55,0.8385858792716742,-0.1438333883173104,0.0117318086342589,0.0011423767734207,74.10355823026669
0,5,10,70,0.8495600572538207,-0.14597349942654483,0.0113881708801986,0.0010866975893675,79.43595900561691
0,10,-10,40,0.2426165957558511,-0.019753410479742682,0.0030736904187861,0.0027598229195744,64.75125821983175
0,10,-10,55,0.2429995013429385,-0.019928788751874066,0.0031758954529803,0.0026272086429757,71.66597834841467
0,10,-10,70,0.2454376290199456,-0.020107678968398893,0.0031396759619483,0.0025729432721158,76.84323111074293
0,10,-5,40,0.5000205147353045,-0.06904624917801412,0.004747226532523,0.0021558034387111,65.37454081156704
0,10,-5,55,0.5055504730667414,-0.06969719561701969,0.0046488265694492,0.0020182663091384,72.18811946363358
0,10,-5,70,0.5108925121256667,-0.07028434882805465,0.0045745053331399,0.0019392424759968,77.35980479468546
