method,CL_R2,CL_R2_lo,CL_R2_hi,CL_RMSE,SPL_R2,SPL_R2_lo,SPL_R2_hi,SPL_RMSE,SPL_RMSE_lo,SPL_RMSE_hi,roughness,smooth,uncertainty,paired_diff_dB,paired_diff_lo,paired_diff_hi,effect_size_dz
Gaussian process,0.9997452679213746,0.9997084002674638,0.9997802051904112,0.011326894278559943,0.9958929644690719,0.9950064360580466,0.996609532589106,0.4164387298098595,0.3831829787105655,0.45572823000362916,1.112975892701575e-06,True,True,0.0,0.0,0.0,0.0
Polynomial (cubic),0.9996769601712024,0.9996485391618766,0.9997049963343215,0.012874821827379028,0.9837202492992855,0.9820607747688056,0.9852705404561748,0.8448226715921675,0.8094641463267822,0.8798298796221313,6.765618740129932e-07,True,False,0.42838394178230793,0.3958399273791131,0.46038577175888884,4.994993533910447
$k$-nearest neighbours,0.9650606339064186,0.963523715079794,0.9665815291790193,0.13442227020071884,0.9769034827819724,0.974483305116482,0.9792311089129612,1.0047119314538682,0.9610796724525915,1.0503725652410794,0.010915389274818712,False,False,0.5882732016440084,0.5302315764031141,0.6391989082111873,4.210553408501887
Random forest,0.9924803932444678,0.9912701073304622,0.993546743448732,0.061297604782798526,0.979360446778719,0.9763311487233911,0.9820018457343008,0.9444324878546142,0.8940158937723969,0.9983261610525572,0.0317043527381094,False,False,0.5279937580447546,0.47476831041705625,0.5824773147677901,3.72974862439359
Gradient boosting,0.9980424702197855,0.9977342475708841,0.9983038038278254,0.03136050076363385,0.9842906356473285,0.9820691626650049,0.9862986077926407,0.8232812613592219,0.7838401894237179,0.865086830169468,0.03216936343897595,False,False,0.40684253154936234,0.3627712536404652,0.44855802568536174,3.6042711318258536
Multilayer perceptron,0.9939402415111585,0.9934239209028709,0.9944672058124426,0.05561143719677488,0.9838020785267843,0.9816587828556516,0.9857610787890303,0.8386826379172853,0.7891493517328367,0.8893023013665693,2.2589687790603368e-05,True,False,0.4222439081074257,0.3675789979055208,0.47993082303386386,2.8575358103326147
