seed,gamma,whole_max,settled_max,descent
0,0.5,0.10324209758932246,0.04777886238639284,1.8659377222198685
1,0.5,0.06414564199086659,0.03737672394253977,1.1759233755917933
2,0.5,0.10146339853775044,0.09063099593117285,2.0162116088441735
3,0.5,0.14579289594338496,0.14579289594338496,1.7149028752813251
4,0.5,0.04548250217014971,0.03806998672421513,2.1336140207205005
5,0.5,0.0770776232942072,0.0770776232942072,2.0173102473788305
6,0.5,0.07497867368438271,0.023777609617833262,2.018957040169468
7,0.5,0.04648266667336043,0.04648266667336043,2.0208907968295193
8,0.5,0.11308118354271168,0.11308118354271168,1.8145707350017943
9,0.5,0.06738157448587945,0.018419757752997645,1.9296499777341438
10,0.5,0.08168606893973651,0.08168606893973651,1.540724528369239
11,0.5,0.07919324717122,0.04286856215191892,2.0693691864056802
12,0.5,0.08470294375626408,0.07997776475181628,2.0934014767197056
13,0.5,0.11307164162650607,0.11307164162650607,2.058110938035753
14,0.5,0.04127320638086829,0.038121442332602395,2.1992799850809206
15,0.5,0.043151560845262615,0.03834725136408457,1.1611443253381992
16,0.5,0.06277268055652119,0.06277268055652119,1.8696023034281524
17,0.5,0.07616039468429658,0.07616039468429658,0.9590452675876691
18,0.5,0.07228710169916641,0.02453438307242939,0.4672226116448712
19,0.5,0.10267833480589017,0.08529332705073878,1.7009896129220294
20,0.5,0.07191522627128388,0.06163184424684043,2.064943109744931
21,0.5,0.0637798936475853,0.02892986405463982,0.875991037859535
22,0.5,0.09620329451152188,0.07323259233210422,0.6895576726094674
23,0.5,0.08069803589494295,0.07423894379775087,1.2953747043480774
24,0.5,0.05720372974016219,0.05720372974016219,0.619758882382655
25,0.5,0.06488456447392754,0.04610213620532044,0.9575467122113821
26,0.5,0.06525123763134677,0.056171316664462845,1.903898076711684
27,0.5,0.055720537794970104,0.055720537794970104,2.1046016785893187
28,0.5,0.0409855758330242,0.029408163664685683,2.0500926803058377
29,0.5,0.09396219605153955,0.09396219605153955,2.042204403280408
