alpha,delta1,delta2,U,CL,dstar_s,dstar_p,SPL,dstar_s_c,dstar_p_c,H_s_c,alpha_eq,corr_ok,corr_reason,SPL_c,SPLA_c
0,-5,-10,40,-0.8282194092048055,0.0012296674999247,0.0120673179266626,66.96347107690985,0.0021326879537853834,0.03150321209041514,0.4396664349157112,,False,outside the fitted design box,,
0,-5,-10,55,-0.838585879271674,0.0011423767734207,0.0117318086342589,74.1035582302667,0.0019812942795574677,0.030627323971685345,0.4396664349157112,,False,outside the fitted design box,,
0,-5,-10,70,-0.8495600572538207,0.0010866975893675,0.0113881708801986,79.43595900561691,0.0018847264471034669,0.029730215507797413,0.4396664349157112,,False,outside the fitted design box,,
0,-5,-5,40,-0.6251357991581604,0.0015757746961505,0.0066971140985895,65.9305085583032,0.0024216397615049795,0.01583191418319543,0.7593048356750697,,False,outside the fitted design box,,
0,-5,-5,55,-0.6314043450356053,0.001474882533,0.0065506859423252,72.82146461216978,0.002266589376125417,0.015485759411176811,0.7593048356750697,,False,outside the fitted design box,,
0,-5,-5,70,-0.6377879277535263,0.0014130074668541,0.0064535097478688,78.02580030334126,0.0021715001982177454,0.015256035809542599,0.7593048356750697,,False,outside the fitted design box,,
0,-5,0,40,-0.3823856539173905,0.00201325579039,0.0041648072008454,64.93635512391847,0.0027415121110247686,0.008915429652993802,1.078943236434428,,False,outside the fitted design box,,
0,-5,0,55,-0.3853141123377555,0.0019066131859765,0.0041242484247402,71.79029771163502,0.0025962936082660117,0.00882860716692433,1.078943236434428,,False,outside the fitted design box,,
0,-5,0,70,-0.3893318230959663,0.0018477607124594,0.0040354489424065,76.94425086262395,0.0025161523913967737,0.008638517806291341,1.078943236434428,,False,outside the fitted design box,,
0,-5,5,40,-0.1285833462262735,0.0026385182685828,0.0026310947695885,64.32517662472343,0.003183663166197151,0.005100180119367271,1.3985816371937865,,False,outside the equivalent-incidence map,,
0,-5,5,55,-0.1273942348995418,0.0025546362899422,0.0027277998028116,71.27008032922599,0.0030824503116622256,0.00528763558223695,1.3985816371937865,,False,outside the equivalent-incidence map,,
0,-5,5,70,-0.1276231757799673,0.0025229464270119,0.0027459928567344,76.50369863807151,0.003044212998487501,0.005322901454451106,1.3985816371937865,,False,outside the equivalent-incidence map,,
0,-5,10,40,0.1257179954482828,0.0038021749023189,0.0018060843280834,64.54802129897593,0.0040651342586145766,0.0031702148340589206,1.718220037953145,9.638137218025786,True,,66.50395185837051,66.86617034808324
0,-5,10,55,0.1292222312446595,0.0037536908488605,0.0018656215615166,71.50172111284904,0.004013297036031776,0.0032747203755078376,1.718220037953145,9.638137218025786,True,,75.96912215791379,76.43368695952488
0,-5,10,70,0.1325219593100984,0.0037096545772286,0.001908762099534,76.7630132355723,0.003966215204966267,0.003350444842768554,1.718220037953145,9.638137218025786,True,,83.11964775268959,83.6319479410596
0,0,-10,40,-0.4917872334796452,0.0014489119291717,0.0063008702800697,65.69323482263309,0.00222667793001923,0.014895197555992024,0.7593048356750697,,False,outside the fitted design box,,
0,0,-10,55,-0.498006963620058,0.0014041625784856,0.0061187045506984,72.5779809884947,0.002157907434346389,0.014464559500246036,0.7593048356750697,,False,outside the fitted design box,,
0,0,-10,70,-0.5040870589132429,0.0013744008068516,0.0059937591851357,77.78065438015736,0.002112169747519844,0.014169189841605567,0.7593048356750697,,False,outside the fitted design box,,
0,0,-5,40,-0.2511634729360114,0.0018846986891574,0.003862453183916,64.64891924602371,0.0025664519663229687,0.00826819297714312,1.078943236434428,,False,outside the fitted design box,,
0,0,-5,55,-0.2535877745876375,0.0018430253598584,0.0038432125953308,71.54892426714673,0.0025097041166332874,0.008227005448947644,1.078943236434428,,False,outside the fitted design box,,
0,0,-5,70,-0.2568001667096288,0.0018154342329186,0.0037739160005241,76.73755058919818,0.0024721324334803832,0.008078665108951654,1.078943236434428,,False,outside the fitted design box,,
0,0,0,40,-1.6688537779966706e-16,0.0025837521845057,0.0025837521845057,64.24209483835278,0.0031175818482433552,0.005008410064548411,1.3985816371937865,,False,outside the equivalent-incidence map,,
