alpha,CL_rans,CM_rans,dstar_s_rans,dstar_p_rans,H_s_rans,H_p_rans,CL_nf,dstar_s_nf,dstar_p_nf
0.0,0.0028619571029674,-0.0004490078041947,0.0035244121809327,0.0034654421561608,1.4894175745346026,1.485834851725228,1.1192290663972958e-16,0.0025643855560777,0.0025643855560777
3.0,0.3476964931910594,-0.0017680267441677,0.0042633387873265,0.0030627964391815,1.54439891317582,1.4495582840371155,0.3391665592516493,0.004502108847668,0.0013443958535478
4.5,0.521114711108564,-0.0026534332955516,0.0047539055552841,0.0028055586945268,1.5808388239111042,1.433055166477596,0.5057070669170455,0.0059987860160848,0.001017987907595
6.0,0.6892462426111048,-0.0026220572490314,0.0053359448998598,0.0024751762197673,1.6200444102710043,1.4160855634980505,0.6701827666344345,0.0075093361869809,0.0009718303941993
6.27,0.7204181580388482,-0.0026592061750605,0.0053726761318635,0.00243276744343,1.6201079512093777,1.414140590665199,0.6999971059243124,0.0078082107342105,0.0009745443090206
7.5,0.8609472555926327,-0.003182951076551,0.0056047734181986,0.0022536797590587,1.6459023434136586,1.4035418133513278,0.8378564495677877,0.0093133895500401,0.0009961870127485
9.0,1.0322425344289976,-0.0038982981400735,0.006018829899045,0.00210762163197,1.6869254006296674,1.397725171589487,1.006176464195664,0.0113402573409049,0.00101417306488
10.5,1.1970835617040336,-0.0037038430709699,0.006916762290554,0.0019287442353864,1.7604863130153157,1.3907435675913682,1.168828233521375,0.013870848847696,0.0009749735660065
11.0,1.2511520621307552,-0.003631222378893,0.0073243445592267,0.001861525493823,1.7881840102839768,1.387664353483803,1.22020820738746,0.0149213036083842,0.0009423220555814
11.5,1.304393244423247,-0.0032948162084283,0.0077784178151734,0.0017998249300681,1.821626009737114,1.3836291889535477,1.2696252989745065,0.0160949245098467,0.0009018564455932
11.82,1.3391376796750185,-0.0032334897787282,0.0080526705141996,0.0017654198344529,1.8413463820515823,1.3820206699951698,1.3001648027940451,0.0169198304660528,0.000873256775092
11.83,1.340255914584242,-0.0033185155013031,0.0080672100023703,0.0017621787509702,1.841915141960207,1.3819791304990725,1.30110538305606,0.0169466119596143,0.0008723421304995
12.0,1.359508017287563,-0.0035346284279905,0.0081685646160489,0.0017479024260898,1.8483199069753249,1.3808260346821073,1.3169677704133014,0.0174116053239531,0.0008566742833823
