delta,alpha,CL,CM,dstar_s,dstar_p,alpha_eff,SPL_geom,SPL_eff,SPL_p_geom,SPL_s_geom,SPL_a_geom
0.0,11.8182507325419,1.3000001844261986,0.0024020465022044,0.0169151520897473,0.0008734166728974,11.373579916239708,80.05518374337358,80.59153206269787,-3000.0,-3000.0,80.05518374337358
2.0,9.64159516289758,1.300000664290387,-0.0362598069435662,0.0160580650246672,0.0007212853542059,11.37358411452657,81.58774698823143,80.3869359077691,-3000.0,-3000.0,81.58774698823143
4.0,7.495072155498706,1.3000244441282405,-0.0756753342796735,0.0163377785221117,0.0005999535893318,11.373792162101841,80.75879472530785,80.45419643596973,57.86489730595915,74.86027739408725,79.43780937021104
6.0,5.456730881695084,1.2999999259072488,-0.1132209624890473,0.0180712548601464,0.0008140073367353,11.373577654481617,79.21778400544711,80.85138109225026,61.35890679916022,74.36947245532164,77.38787900586401
8.0,3.723166367134413,1.300000325516656,-0.1439196866208135,0.0227550207950685,0.0008540543011576,11.373581150626912,76.03619338234756,81.71174610306082,62.24391301706423,73.56248169838743,71.97440560021913
10.0,2.078928386857473,1.2999968170112683,-0.1720951412637581,0.028664895129319,0.000842167807405,11.373550455041718,73.5170807185884,82.49634188268388,62.641343163389834,72.65295731212993,63.45974827694397
