alpha,delta1,delta2,U,CL,dCL_dalpha,dCL_dd1,dCL_dd2,dCL_dU,SPL,dSPL_dalpha,dSPL_dd1,dSPL_dd2,dSPL_dU,sigma
8.150759953451284900e+00,4.836944013669334907e+00,3.299379258095221701e+00,6.234471021045428785e+01,1.395833829253222191e+00,9.440352909367159817e-02,6.051084855803648410e-02,4.022146326158176216e-02,1.711095239329906955e-03,8.538586761761034438e+01,7.984189428342641781e-01,1.873023395069006725e-01,1.199661273920424043e-01,4.606929997954445355e-01,5.226670942596111091e-01
9.644868433252504758e+00,-2.834954258220676593e-01,6.156709185921389604e+00,6.838827781517284166e+01,1.351534464611028774e+00,9.831135582606373435e-02,6.346501810652932507e-02,4.389768717259934921e-02,9.012932807043959847e-04,8.744837539567387807e+01,3.583059059318089989e-01,2.908438551079944312e-01,2.055285747275963915e-01,1.991634601660437209e-01,2.463472897068199885e-01
4.571293597782460694e+00,-7.262477624050982072e+00,9.942824160145491419e-01,5.810678655086459798e+01,1.288594791964636777e-03,1.156014842193133635e-01,7.934603677391509347e-02,5.241200442382348140e-02,-7.909355668604773292e-05,7.487696641880232562e+01,1.131795575886675342e+00,1.836530685959699150e-01,1.790149515684523462e-01,4.948313598532698143e-01,3.056777993830859796e-01
7.912361628708612926e-01,-3.129269405912832980e+00,-6.705666824419742156e+00,4.862739826359700857e+01,-4.936207173259842262e-01,1.026774892782548187e-01,7.427993057826851042e-02,4.921741520555730776e-02,4.052170313479317712e-04,6.854097069257500152e+01,-5.884956722673130303e-01,-1.871110601374601778e-01,-1.736388299920094969e-01,5.212849100028683624e-01,5.002550726980362628e-01
3.457747191695922595e+00,-3.511476606551140023e+00,-9.289423903392732385e+00,6.017107655287858847e+01,-3.693093173943794438e-01,1.045227693746273584e-01,7.772831075727945627e-02,4.771105384381225945e-02,-1.588699691976733837e-04,7.485849643432476341e+01,4.674234313970941357e-01,-2.760820048278890201e-02,-9.644257486178844929e-02,4.415095053024802318e-01,4.435322387275322797e-01
1.091512233263536302e+01,-3.991621913639205488e+00,-4.369323643030124771e+00,6.136146360344184814e+01,7.079687959818242726e-01,1.145018427299936692e-01,7.503691317047729570e-02,5.302309899537083204e-02,5.045314772139624770e-04,8.215035940099703282e+01,6.443512956311492346e-02,3.057519135307560920e-01,1.910601352380769669e-01,5.222548875497612375e-01,4.973160311461465311e-01
2.560624242958986052e+00,-6.689971990684250969e+00,6.157416929071032996e+00,5.969350859615806115e+01,8.920018034401699936e-02,1.153919241331230611e-01,7.908591881402442236e-02,5.380694308675063736e-02,-1.831531298311720444e-04,7.462186405963984726e+01,9.240410540308771070e-01,1.544250698751288564e-01,2.036442950663231999e-01,4.422491084336590550e-01,4.191205074204875092e-01
5.425487541812197279e+00,-1.701964548534959931e+00,-9.104674783097220114e+00,4.440790947080630247e+01,-1.324194912478970920e-02,1.116740702902647570e-01,7.881743693859806499e-02,4.969865475399012217e-02,5.259023104127308595e-04,6.857431031706872204e+01,9.523704256657214984e-01,2.308135065059355451e-01,6.832198684946531875e-02,4.203415957193228913e-01,4.715868324255095279e-01
1.117447223626826158e+01,-1.037586849945533629e+00,-9.835669899213758782e+00,6.920426704809102603e+01,6.773977564833536524e-01,1.159715014944062289e-01,7.438512385272830207e-02,4.695990070349322781e-02,4.854987838167374868e-04,8.481577231803434813e+01,2.125359130415643560e-01,3.141841547800543477e-01,2.248547654033387355e-01,1.837720411442373969e-01,1.679004220901056388e-01
2.987907306041761579e-01,5.498007516280342344e+00,-2.767667045758854805e+00,6.866150355462636412e+01,3.201044483545870678e-01,1.099422490164722460e-01,7.890429636863656448e-02,5.312130214929058208e-02,2.692010924465780618e-04,7.661669280149624228e+01,6.198946519401749011e-01,2.115384221873377601e-01,1.310840407558702403e-01,1.721407382012881127e-01,2.227317510397116840e-01
