i,t,alpha,delta1,delta2,CL,viol,SPL,flags
5.800000000000000000e+01,5.799999999999999600e-01,1.113052632376551365e+01,-9.667891352517263837e-01,2.764600479943412292e+00,1.293848738600293480e+00,6.151261399706564603e-03,8.075120130197751678e+01,0.000000000000000000e+00
5.900000000000000000e+01,5.899999999999999689e-01,1.120350589320063328e+01,-1.007462195668901606e+00,2.856173222405570478e+00,1.298112339304805296e+00,1.887660695194748328e-03,8.072876598150239147e+01,0.000000000000000000e+00
6.000000000000000000e+01,5.999999999999999778e-01,1.121832532808184268e+01,-1.084111308370317550e+00,2.919612124306815382e+00,1.303563719070967464e+00,3.563719070967419356e-03,8.070695183920618376e+01,0.000000000000000000e+00
6.100000000000000000e+01,6.099999999999999867e-01,1.119667470857500646e+01,-1.183209885869707101e+00,2.965257923943656060e+00,1.307322578819408276e+00,7.322578819408231965e-03,8.068746275686160629e+01,0.000000000000000000e+00
6.200000000000000000e+01,6.199999999999999956e-01,1.117692668005823720e+01,-1.279135655675615268e+00,3.010502426964896117e+00,1.308267047039117115e+00,8.267047039117070284e-03,8.067007778210236779e+01,0.000000000000000000e+00
6.300000000000000000e+01,6.300000000000000044e-01,1.111966735407709628e+01,-1.398361310277665970e+00,3.037530730111258404e+00,1.307283216181781338e+00,7.283216181781293486e-03,8.065614536716650207e+01,0.000000000000000000e+00
6.400000000000000000e+01,6.400000000000000133e-01,1.107010005518793605e+01,-1.510622357640947211e+00,3.066843488556997954e+00,1.303253286474504558e+00,3.253286474504513137e-03,8.064443672919814787e+01,0.000000000000000000e+00
6.500000000000000000e+01,6.500000000000000222e-01,1.110718781992792614e+01,-1.562934603009904722e+00,3.134203069550650422e+00,1.297366113988481118e+00,2.633886011518926651e-03,8.063084197844908374e+01,0.000000000000000000e+00
6.600000000000000000e+01,6.600000000000000311e-01,1.111443534478544670e+01,-1.633540076528276375e+00,3.186901710374014485e+00,1.294019043600975083e+00,5.980956399024961456e-03,8.061723907198273764e+01,0.000000000000000000e+00
6.700000000000000000e+01,6.700000000000000400e-01,1.114585600718855396e+01,-1.686171969686235395e+00,3.249434960229056202e+00,1.291205431810423354e+00,8.794568189576690287e-03,8.060268143207956371e+01,0.000000000000000000e+00
6.800000000000000000e+01,6.800000000000000488e-01,1.120962156638502627e+01,-1.715324920926774910e+00,3.325560939652579151e+00,1.289883612527267465e+00,1.011638747273257977e-02,8.058595058952148804e+01,0.000000000000000000e+00
6.900000000000000000e+01,6.900000000000000577e-01,1.129893302306532377e+01,-1.725558754716600252e+00,3.412264030320303565e+00,1.291116049105946573e+00,8.883950894053471714e-03,8.056602022520030459e+01,0.000000000000000000e+00
7.000000000000000000e+01,7.000000000000000666e-01,1.139757091864943028e+01,-1.727806075726236124e+00,3.502240150315420575e+00,1.295361322481165978e+00,4.638677518834066760e-03,8.054240648718857187e+01,0.000000000000000000e+00
7.100000000000000000e+01,7.099999999999999645e-01,1.140278314694761796e+01,-1.791641138706888015e+00,3.548614957673208892e+00,1.302211808566876572e+00,2.211808566876527493e-03,8.052098407568874450e+01,0.000000000000000000e+00
7.200000000000000000e+01,7.199999999999999734e-01,1.139839326307177103e+01,-1.860458863888467596e+00,3.589598200661795246e+00,1.306775784874250723e+00,6.775784874250678769e-03,8.050223511701767620e+01,0.000000000000000000e+00
7.300000000000000000e+01,7.299999999999999822e-01,1.135339281484484175e+01,-1.955335858975137509e+00,3.611024198872702318e+00,1.309272837305635262e+00,9.272837305635217575e-03,8.048855762897956367e+01,0.000000000000000000e+00
7.400000000000000000e+01,7.399999999999999911e-01,1.130899388238787218e+01,-2.048361972485269522e+00,3.631771912915366052e+00,1.308472080681352345e+00,8.472080681352300857e-03,8.047881991033614213e+01,0.000000000000000000e+00
7.500000000000000000e+01,7.500000000000000000e-01,1.125322545930742812e+01,-2.147696880017007981e+00,3.646386077744620202e+00,1.305312021083202545e+00,5.312021083202500549e-03,8.047272825248560935e+01,0.000000000000000000e+00
7.600000000000000000e+01,7.600000000000000089e-01,1.122140896484255457e+01,-2.229386018429483585e+00,3.671049135071890568e+00,1.299928162639691243e+00,7.183736030880183421e-05,8.046761059649485048e+01,0.000000000000000000e+00
7.700000000000000000e+01,7.700000000000000178e-01,1.123415341064333539e+01,-2.279449790631021600e+00,3.715198943955557720e+00,1.293998809528272398e+00,6.001190471727646525e-03,8.046043129007540529e+01,0.000000000000000000e+00
7.800000000000000000e+01,7.800000000000000266e-01,1.128512977764010117e+01,-2.302181342755045268e+00,3.775980542046683208e+00,1.289680167943861200e+00,1.031983205613884458e-02,8.044954462188184152e+01,0.000000000000000000e+00
7.900000000000000000e+01,7.900000000000000355e-01,1.133022741481661555e+01,-2.327583945904459384e+00,3.833240936143057720e+00,1.288263102717603692e+00,1.173689728239635244e-02,8.043632171659848495e+01,0.000000000000000000e+00
8.000000000000000000e+01,8.000000000000000444e-01,1.140709202930331045e+01,-2.329728731576885536e+00,3.904080517632620762e+00,1.288689978990514184e+00,1.131002100948585998e-02,8.041911975966212367e+01,0.000000000000000000e+00
8.100000000000000000e+01,8.100000000000000533e-01,1.148237597629427675e+01,-2.331658033792461726e+00,3.973449313981192610e+00,1.291890120838150802e+00,8.109879161849242735e-03,8.039856200439787415e+01,0.000000000000000000e+00
8.200000000000000000e+01,8.200000000000000622e-01,1.148128632649779135e+01,-2.384532598916973445e+00,4.006875996930259198e+00,1.297019405433515571e+00,2.980594566484473518e-03,8.038090411655426237e+01,0.000000000000000000e+00
8.300000000000000000e+01,8.300000000000000711e-01,1.154895196542143587e+01,-2.389199483458484874e+00,4.071260619504111666e+00,1.300096452337868635e+00,9.645233786859108704e-05,8.036007282286612963e+01,0.000000000000000000e+00
8.400000000000000000e+01,8.399999999999999689e-01,1.157934088572859466e+01,-2.418197748724903562e+00,4.117712731701987927e+00,1.304777038577316750e+00,4.777038577316705670e-03,8.033965772532617677e+01,0.000000000000000000e+00
8.500000000000000000e+01,8.499999999999999778e-01,1.153454124316572837e+01,-2.497615664069142039e+00,4.128635455710548463e+00,1.308932694072342029e+00,8.932694072341984537e-03,8.032632381455979953e+01,0.000000000000000000e+00
