scenario,i,t,alpha,delta1,delta2,CL,s,sigma,flags
0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000056e-01,9.647373758771124130e+00,6.948976147331521247e+00,-5.063731483211654449e+00,1.300419527551760268e+00,4.195275517602237159e-04,1.287604163785543709e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000006e-01,9.714127544050031204e+00,6.717078839300645754e+00,-4.822623739241119978e+00,1.298395301848502159e+00,-1.604698151497885306e-03,1.287604163785543709e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+01,1.199999999999999956e-01,9.753970150338332701e+00,6.472159194482428823e+00,-4.599381676778124373e+00,1.300439370390201965e+00,4.393703902019208130e-04,1.287604163785543709e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+01,1.300000000000000044e-01,9.818117893981977318e+00,6.250329699487028101e+00,-4.368462413591242210e+00,1.298379662198256845e+00,-1.620337801743199080e-03,1.287604163785543709e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.400000000000000000e+01,1.400000000000000133e-01,9.855108539467915207e+00,6.015120456194409826e+00,-4.155348675217957144e+00,1.300451863827992494e+00,4.518638279924491741e-04,1.287604163785543709e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+01,1.499999999999999944e-01,9.916644411696887929e+00,5.802818151790361867e+00,-3.934254188509427319e+00,1.298370108934377765e+00,-1.629891065622279811e-03,1.287604163785543709e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.600000000000000000e+01,1.600000000000000033e-01,9.950914660401577905e+00,5.576931669706274519e+00,-3.730820884293043704e+00,1.300458953514803007e+00,4.589535148029622036e-04,1.287604163785543709e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.700000000000000000e+01,1.700000000000000122e-01,1.000992373970231064e+01,5.373715529502320010e+00,-3.519156128562266339e+00,1.298364809279691112e+00,-1.635190720308932200e-03,1.287604163785543709e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.800000000000000000e+01,1.799999999999999933e-01,1.004164500924728110e+01,5.156807982497252141e+00,-3.324951221718993377e+00,1.300462471911736362e+00,4.624719117363174092e-04,1.287604163785543709e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.900000000000000000e+01,1.900000000000000022e-01,1.009826813696510150e+01,4.962306296675494721e+00,-3.122306274234613710e+00,1.298362244908311425e+00,-1.637755091688619657e-03,1.287604163785543709e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+01,2.000000000000000111e-01,1.013001661040914492e+01,4.742878613068810090e+00,-2.926112166272285098e+00,1.300463837578806459e+00,4.638375788064141858e-04,1.041989373714638650e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.100000000000000000e+01,2.099999999999999922e-01,1.018667076180793707e+01,4.546055439609432369e+00,-2.721799517732895524e+00,1.298363060227585741e+00,-1.636939772414303107e-03,1.041989373714638650e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.200000000000000000e+01,2.200000000000000011e-01,1.021598731363276080e+01,4.335932397983153663e+00,-2.534926681815778515e+00,1.300465232979221675e+00,4.652329792216303161e-04,1.041989373714638650e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.300000000000000000e+01,2.300000000000000100e-01,1.027039090314477576e+01,4.148133595047432287e+00,-2.339737458640923862e+00,1.298360990155014161e+00,-1.639009844985883646e-03,1.041989373714638650e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.400000000000000000e+01,2.399999999999999911e-01,1.029751064082632617e+01,3.946982702821623334e+00,-2.161694655971958756e+00,1.300464868191048673e+00,4.648681910486285318e-04,1.041989373714638650e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e-01,1.034985541600638648e+01,3.767868005078298665e+00,-1.975177338542074557e+00,1.298361213344254583e+00,-1.638786655745461118e-03,1.041989373714638650e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.600000000000000000e+01,2.600000000000000089e-01,1.037498208741162031e+01,3.575352718292587717e+00,-1.805508224874420531e+00,1.300464205553453212e+00,4.642055534531674965e-04,1.041989373714638650e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.700000000000000000e+01,2.700000000000000178e-01,1.042545385061351304e+01,3.404599550553916831e+00,-1.627229295409393206e+00,1.298362158627999197e+00,-1.637841372000847784e-03,1.041989373714638650e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.800000000000000000e+01,2.800000000000000266e-01,1.044876444697206708e+01,3.220383216771858237e+00,-1.465509204846039415e+00,1.300463878387556615e+00,4.638783875565710701e-04,1.041989373714638650e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.900000000000000000e+01,2.899999999999999800e-01,1.049753178379851803e+01,3.057677540598489507e+00,-1.295058233747295340e+00,1.298363184363720002e+00,-1.636815636280042341e-03,1.041989373714638650e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+01,2.999999999999999889e-01,1.051917827867218413e+01,2.881425156702062118e+00,-1.140892188398356488e+00,1.300464161957802345e+00,4.641619578023004067e-04,1.041989373714638650e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.100000000000000000e+01,3.099999999999999978e-01,1.056638871922387501e+01,2.726457849509635878e+00,-9.778831177425415522e-01,1.298364003593384552e+00,-1.635996406615491949e-03,1.041989373714638650e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000000e+01,3.200000000000000067e-01,1.058649994804175876e+01,2.557837617306162326e+00,-8.309036949395669502e-01,1.300465153275888408e+00,4.651532758883636376e-04,1.041989373714638650e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.300000000000000000e+01,3.300000000000000155e-01,1.063227960525219373e+01,2.410303395960857298e+00,-6.749743597809771956e-01,1.298364489672833244e+00,-1.635510327166800337e-03,1.041989373714638650e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.400000000000000000e+01,3.400000000000000244e-01,1.065096374694995340e+01,2.248988369885753791e+00,-5.348392876994588763e-01,1.300466850860055423e+00,4.668508600553789023e-04,1.041989373714638650e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.500000000000000000e+01,3.500000000000000333e-01,1.069541871303151659e+01,2.108585953602902130e+00,-3.856500866702318175e-01,1.298364602457595662e+00,-1.635397542404382065e-03,1.041989373714638650e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.600000000000000000e+01,3.599999999999999867e-01,1.071276616121291880e+01,1.954255670265663269e+00,-2.520397370075270205e-01,1.300469197610307548e+00,4.691976103075035098e-04,1.041989373714638650e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.700000000000000000e+01,3.699999999999999956e-01,1.075598478144629766e+01,1.820688534042713247e+00,-1.092719243483708524e-01,1.298364352982134484e+00,-1.635647017865560215e-03,1.041989373714638650e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.800000000000000000e+01,3.800000000000000044e-01,1.077207110422956582e+01,1.673030483209520858e+00,1.811311925118821997e-02,1.300472107413935596e+00,4.721074139355518895e-04,1.041989373714638650e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.900000000000000000e+01,3.900000000000000133e-01,1.081412661113406948e+01,1.546007845236889056e+00,1.547592501590701330e-01,1.298363781950270246e+00,-1.636218049729798452e-03,1.041989373714638650e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+01,4.000000000000000222e-01,1.082903939167370133e+01,1.404605505710315727e+00,2.763092986827637154e-01,1.300475482673707273e+00,4.754826737072281873e-04,1.038257838254937476e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.100000000000000000e+01,4.100000000000000311e-01,1.087001573727024173e+01,1.283735484553371275e+00,4.072201688089528426e-01,1.298362933242809270e+00,-1.637066757190774879e-03,1.038257838254937476e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.200000000000000000e+01,4.199999999999999845e-01,1.088378326108506222e+01,1.148419266479961953e+00,5.230822058179912526e-01,1.300479217441680602e+00,4.792174416805572434e-04,1.038257838254937476e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.300000000000000000e+01,4.299999999999999933e-01,1.092370623777304850e+01,1.033543337087735825e+00,6.484112313599932342e-01,1.298361901165318244e+00,-1.638098834681800398e-03,1.038257838254937476e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.400000000000000000e+01,4.400000000000000022e-01,1.093637530410694758e+01,9.040300531614474666e-01,7.588370074388111064e-01,1.300483235655062408e+00,4.832356550623639890e-04,1.038257838254937476e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.500000000000000000e+01,4.500000000000000111e-01,1.097528824001069125e+01,7.948797052366636251e-01,8.788374560014062808e-01,1.298360713271449196e+00,-1.639286728550848338e-03,1.038257838254937476e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.600000000000000000e+01,4.600000000000000200e-01,1.098690017671813202e+01,6.708974509729319635e-01,9.840658531623627248e-01,1.300487453680818417e+00,4.874536808183727032e-04,1.038257838254937476e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.700000000000000000e+01,4.700000000000000289e-01,1.102484055932149687e+01,5.672132585345474043e-01,1.098978015663377494e+00,1.298359425999589867e+00,-1.640574000410177646e-03,1.038257838254937476e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.800000000000000000e+01,4.799999999999999822e-01,1.103543263931111440e+01,4.485015899229018443e-01,1.199236241520235557e+00,1.300491802922073781e+00,4.918029220737363261e-04,1.038257838254937476e-01,0.000000000000000000e+00
